user	date	lon	lat
Ltn12345	2021-07-11 11:09:28	105.819375	21.002225
Ltn12345	2021-07-13 08:19:15	105.814506	21.001947
Ltn12345	2021-07-13 11:15:20	105.820975	21.002858
Ltn12345	2021-07-13 11:15:16	105.820342	21.002786
Ltn12345	2021-07-13 11:15:18	105.820633	21.00285
Ltn12345	2021-07-15 11:07:44	105.820136	21.002767
Ltn12345	2021-07-15 11:07:38	105.819794	21.002631
Ltn12345	2021-07-15 11:07:45	105.820214	21.002781
Ltn12345	2021-07-15 11:08:30	105.825225	21.001769
Ltn12345	2021-07-15 11:08:30	105.825225	21.001769
Ltn12345	2021-07-15 11:08:32	105.825425	21.001714
Ltn12345	2021-07-15 11:08:38	105.826003	21.001561
Ltn12345	2021-07-15 11:09:14	105.826203	21.001753
Ltn12345	2021-07-15 11:08:38	105.826003	21.001561
Ltn12345	2021-07-15 11:09:15	105.826203	21.001753
Ltn12345	2021-07-15 10:56:21	105.815047	21.002736
Ltn12345	2021-07-15 10:56:51	105.815314	21.00285
Ltn12345	2021-07-15 11:07:22	105.818725	21.001933
Ltn12345	2021-07-17 12:10:44	105.83075	21.042186
Ltn12345	2021-07-17 12:12:30	105.834769	21.042656
Ltn12345	2021-07-17 12:10:34	105.829728	21.041817
Ltn12345	2021-07-17 12:13:08	105.836053	21.041444
Ltn12345	2021-07-17 12:12:41	105.835122	21.042392
Ltn12345	2021-07-17 12:12:59	105.835647	21.041792
Ltn12345	2021-07-17 12:14:49	105.836692	21.034294
Ltn12345	2021-07-17 12:13:57	105.836944	21.038661
Ltn12345	2021-07-17 12:16:27	105.835839	21.030214
Ltn12345	2021-07-17 12:22:02	105.829392	21.017683
Ltn12345	2021-07-17 12:24:00	105.825883	21.011733
Ltn12345	2021-07-17 12:24:17	105.824975	21.010453
Ltn12345	2021-07-17 12:24:50	105.824433	21.009358
Ltn12345	2021-07-17 12:25:41	105.826294	21.008453
Ltn12345	2021-07-17 12:27:36	105.827431	21.004558
Ltn12345	2021-07-17 12:27:43	105.827203	21.004508
Ltn12345	2021-07-19 08:31:16	105.828636	21.041392
Ltn12345	2021-07-19 08:35:10	105.828439	21.040994
Ltn12345	2021-07-19 08:36:45	105.822892	21.04315
Ltn12345	2021-07-19 08:37:59	105.819122	21.043622
Ltn12345	2021-07-19 08:38:31	105.817475	21.043386
Ltn12345	2021-07-19 08:38:43	105.816956	21.043383
Ltn12345	2021-07-19 08:38:45	105.816894	21.043383
Ltn12345	2021-07-19 08:43:08	105.808097	21.047283
Ltn12345	2021-07-19 08:38:50	105.816764	21.043256
Ltn12345	2021-07-19 08:43:43	105.806481	21.047511
Ltn12345	2021-07-19 08:43:49	105.806344	21.047544
Ltn12345	2021-07-19 08:44:00	105.806114	21.0475
Ltn12345	2021-07-19 08:44:36	105.805642	21.0459
Ltn12345	2021-07-19 08:45:16	105.806014	21.042406
