id	user	user_id	date	date_kind	lon	lat	pos_accuracy	geoprivacy	quality_grade	photo_url	exclude_reason
318554705	fallofgranada	9788159	2025-10-04	observed_on	105.4288785	21.2746262	12	obscured	casual	https://inaturalist-open-data.s3.amazonaws.com/photos/575746109/square.jpg	obscured
318554916	fallofgranada	9788159	2025-10-04	observed_on	105.4588504	21.2314522	4	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/575746525/square.jpg	obscured
318555097	fallofgranada	9788159	2025-10-04	observed_on	105.4796790	21.3603544	4	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/575746930/square.jpg	obscured
318768799	fallofgranada	9788159	2025-10-05	observed_on	105.4615726	21.2184161	29	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/576151719/square.jpg	obscured
318776244	fallofgranada	9788159	2025-10-05	observed_on	105.4836439	21.3732740	35	obscured	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/576166276/square.jpg	obscured
318830903	fallofgranada	9788159	2025-10-05	observed_on	105.4864346	21.2090130	35	obscured	casual	https://inaturalist-open-data.s3.amazonaws.com/photos/576273465/square.jpg	obscured
318832241	fallofgranada	9788159	2025-10-05	observed_on	105.4141178	21.2612324	4	obscured	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/576275534/square.jpg	obscured
319110456	fallofgranada	9788159	2025-10-06	observed_on	105.8270169	21.1819276	4	obscured	casual	https://inaturalist-open-data.s3.amazonaws.com/photos/576808069/square.jpg	obscured
319351508	fallofgranada	9788159	2025-10-07	observed_on	105.8006198	21.1171411	35	obscured	casual	https://inaturalist-open-data.s3.amazonaws.com/photos/577267116/square.jpg	obscured
320068218	fallofgranada	9788159	2025-10-11	observed_on	105.8852440	21.1437647	9	obscured	casual	https://inaturalist-open-data.s3.amazonaws.com/photos/578641428/square.jpg	obscured
320116167	nextcontinenttours	9140042	2025-10-11	observed_on	105.3886916	21.0824459	225	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/578738477/square.jpg	obscured
320821976	numberoneforager	7306866	2025-10-14	observed_on	105.9972085	21.1537363	18	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/580118278/square.jpg	obscured
321348985	alexherpeto	9801233	2025-10-17	observed_on	105.9187967	21.1372186	24	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/581152149/square.jpg	obscured
321560372	johnodon	9689286	2025-10-18	observed_on	105.9382601	21.1324083	16	obscured	casual	https://inaturalist-open-data.s3.amazonaws.com/photos/581927753/square.jpg	obscured
321570871	jhd_australia	3997599	2025-10-18	observed_on	105.9957396	20.7139033	3	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/581584512/square.jpg	obscured
321750436	johnodon	9689286	2025-10-19	observed_on	105.8829969	21.0195776	30415	obscured	casual	https://inaturalist-open-data.s3.amazonaws.com/photos/581926547/square.jpg	obscured
321977704	johnodon	9689286	2025-10-19	observed_on	105.9448192	21.1124520	30	obscured	casual	https://inaturalist-open-data.s3.amazonaws.com/photos/582378542/square.jpg	obscured
322917041	baki256	9857667	2025-10-25	observed_on	105.9043939	21.0269732	12	obscured	casual	https://inaturalist-open-data.s3.amazonaws.com/photos/584246692/square.jpg	obscured
323417414	allahisgoodbinladen123	9912032	2025-10-27	observed_on	105.7672335	20.8770856	5	obscured	casual	https://inaturalist-open-data.s3.amazonaws.com/photos/585197950/square.jpg	obscured
323417919	allahisgoodbinladen123	9912032	2025-10-27	observed_on	105.6244381	20.9953232	3	obscured	casual	https://inaturalist-open-data.s3.amazonaws.com/photos/585198847/square.jpg	obscured
323970055	martinscorsese	9920798	2025-10-30	observed_on	105.8272739	21.1997748	9	obscured	casual	https://inaturalist-open-data.s3.amazonaws.com/photos/586286371/square.jpg	obscured
323971688	martinscorsese	9920798	2025-10-30	observed_on	105.9981556	21.1109293	20	obscured	casual	https://inaturalist-open-data.s3.amazonaws.com/photos/586289220/square.jpg	obscured
324677258	diemthu	9912006	2025-11-03	observed_on	105.7536078	20.8165023	32	obscured	casual	https://inaturalist-open-data.s3.amazonaws.com/photos/587704720/square.jpg	obscured
324677788	phuonglinh	9912003	2025-11-03	observed_on	105.7149629	20.8409278	16	obscured	casual	https://inaturalist-open-data.s3.amazonaws.com/photos/587705809/square.jpg	obscured
325164981	bushranger98	5000871	2025-11-06	observed_on	105.7120806	20.6828497	30453	obscured	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/588683824/square.jpg	obscured
325165104	bushranger98	5000871	2025-11-06	observed_on	105.7305336	20.7161936	30453	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/588683862/square.jpg	obscured
325165122	bushranger98	5000871	2025-11-06	observed_on	105.6531767	20.6265251	30453	obscured	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/588683934/square.jpg	obscured
325170077	bushranger98	5000871	2025-11-06	observed_on	105.7076872	20.6848419	30453	obscured	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/588692866/square.jpg	obscured
325170183	bushranger98	5000871	2025-11-06	observed_on	105.7356664	20.7810347	30453	obscured	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/588693109/square.jpg	obscured
325170214	bushranger98	5000871	2025-11-06	observed_on	105.7183528	20.7604073	30453	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/588693175/square.jpg	obscured
326289955	elliot403	184212	2025-11-13	observed_on	105.8324088	21.1189861	30415	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/590957946/square.jpg	obscured
328146423	drphuongthaoduoc	9979123	2025-11-25	observed_on	105.3444002	21.1997388	4	obscured	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/594567136/square.jpg	obscured
328147924	drphuongthaoduoc	9979123	2025-02-27	observed_on	105.3186515	21.1850187	4	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/594569932/square.jpg	obscured
329120067	the_taxanaut	9035609	2024-11-19	observed_on	105.7497228	21.4604340	30377	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/596525792/square.jpg	obscured
329120069	the_taxanaut	9035609	2024-11-19	observed_on	105.7518482	21.4502954	30377	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/596525795/square.jpg	obscured
329120427	the_taxanaut	9035609	2024-11-19	observed_on	105.6494926	21.4523197	30377	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/596526140/square.jpg	obscured
329120428	the_taxanaut	9035609	2024-11-19	observed_on	105.6041546	21.4004606	30377	obscured	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/596526139/square.jpg	obscured
329120429	the_taxanaut	9035609	2024-11-19	observed_on	105.6381270	21.4009261	30377	obscured	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/596526153/square.jpg	obscured
329120431	the_taxanaut	9035609	2024-11-19	observed_on	105.7619209	21.4949736	30377	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/596526159/square.jpg	obscured
329120432	the_taxanaut	9035609	2024-11-19	observed_on	105.6378694	21.4898452	30377	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/596526164/square.jpg	obscured
329120633	the_taxanaut	9035609	2024-11-19	observed_on	105.7137759	21.4374672	30377	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/596526407/square.jpg	obscured
329120634	the_taxanaut	9035609	2024-11-19	observed_on	105.7664866	21.4505533	30377	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/596526408/square.jpg	obscured
329120638	the_taxanaut	9035609	2024-11-19	observed_on	105.7797528	21.4420519	30377	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/596526428/square.jpg	obscured
329120639	the_taxanaut	9035609	2024-11-19	observed_on	105.6292599	21.4035449	30377	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/596526420/square.jpg	obscured
329120644	the_taxanaut	9035609	2024-11-19	observed_on	105.7168618	21.4061732	30377	obscured	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/596526459/square.jpg	obscured
329120647	the_taxanaut	9035609	2024-11-19	observed_on	105.6744023	21.4058167	30377	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/596526451/square.jpg	obscured
329120649	the_taxanaut	9035609	2024-11-19	observed_on	105.6223626	21.4918349	30377	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/596526466/square.jpg	obscured
329120650	the_taxanaut	9035609	2024-11-19	observed_on	105.7173136	21.4821197	30377	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/596526478/square.jpg	obscured
329120653	the_taxanaut	9035609	2024-11-19	observed_on	105.6393675	21.4908657	30377	obscured	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/596526480/square.jpg	obscured
329120654	the_taxanaut	9035609	2024-11-19	observed_on	105.7510705	21.4896356	30377	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/596526486/square.jpg	obscured
329120655	the_taxanaut	9035609	2024-11-19	observed_on	105.6727460	21.4287274	30377	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/596526493/square.jpg	obscured
329120662	the_taxanaut	9035609	2024-11-19	observed_on	105.6156484	21.4947599	30377	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/596526510/square.jpg	obscured
329120663	the_taxanaut	9035609	2024-11-19	observed_on	105.7492906	21.4319404	30377	obscured	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/596526514/square.jpg	obscured
329232585	nguyendevs	9956865	2025-10-05	observed_on	105.8644346	21.1257444	4	obscured	casual	https://inaturalist-open-data.s3.amazonaws.com/photos/596748516/square.jpg	obscured
330711523	justinaceae	798730	2025-12-14	observed_on	105.8096640	21.1533735	46	obscured	needs_id	https://static.inaturalist.org/photos/599765503/square.jpg	obscured
331248031	elliotty	7098292	2025-12-18	observed_on	105.9769583	21.0039052	109	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/600867843/square.jpg	obscured
331249573	elliotty	7098292	2025-12-18	observed_on	105.8982786	21.0537986	99	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/600870563/square.jpg	obscured
331299756	the_taxanaut	9035609	2024-11-21	observed_on	105.6216048	20.7712132	30453	obscured	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/600977930/square.jpg	obscured
331299759	the_taxanaut	9035609	2024-11-21	observed_on	105.6900683	20.7780850	30453	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/600977932/square.jpg	obscured
331299760	the_taxanaut	9035609	2024-11-21	observed_on	105.7481742	20.7917389	30453	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/600977931/square.jpg	obscured
331299763	the_taxanaut	9035609	2024-11-21	observed_on	105.7990253	20.7396387	30453	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/600977936/square.jpg	obscured
331299765	the_taxanaut	9035609	2024-11-21	observed_on	105.7854703	20.7269371	30453	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/600977939/square.jpg	obscured
331299766	the_taxanaut	9035609	2024-11-21	observed_on	105.7251578	20.6395697	30453	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/600977940/square.jpg	obscured
331299769	the_taxanaut	9035609	2024-11-21	observed_on	105.7964920	20.7086906	30453	obscured	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/600977948/square.jpg	obscured
331299773	the_taxanaut	9035609	2024-11-21	observed_on	105.6868669	20.6423668	30453	obscured	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/600977953/square.jpg	obscured
331299774	the_taxanaut	9035609	2024-11-21	observed_on	105.6393889	20.7498865	30453	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/600977949/square.jpg	obscured
331299777	the_taxanaut	9035609	2024-11-21	observed_on	105.6627234	20.7015004	30453	obscured	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/600977961/square.jpg	obscured
331299780	the_taxanaut	9035609	2024-11-21	observed_on	105.7162088	20.7332668	30453	obscured	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/600977963/square.jpg	obscured
331299781	the_taxanaut	9035609	2024-11-21	observed_on	105.7129707	20.6930113	30453	obscured	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/600977968/square.jpg	obscured
331299782	the_taxanaut	9035609	2024-11-21	observed_on	105.7071332	20.7954650	30453	obscured	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/600977978/square.jpg	obscured
331349475	the_taxanaut	9035609	2024-11-19	observed_on	105.8816170	21.0436902	30415	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/601080682/square.jpg	obscured
331349515	the_taxanaut	9035609	2024-11-19	observed_on	105.9847009	21.1225429	30415	obscured	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/601080779/square.jpg	obscured
331349516	the_taxanaut	9035609	2024-11-19	observed_on	105.9193329	21.0949567	30415	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/601080777/square.jpg	obscured
331349517	the_taxanaut	9035609	2024-11-19	observed_on	105.9338009	21.0043123	30415	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/601080784/square.jpg	obscured
331349632	the_taxanaut	9035609	2024-11-19	observed_on	105.9248711	21.0589840	30415	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/601080906/square.jpg	obscured
331349637	the_taxanaut	9035609	2024-11-19	observed_on	105.9663117	21.1304294	30415	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/601080909/square.jpg	obscured
331349638	the_taxanaut	9035609	2024-11-19	observed_on	105.9274351	21.0244441	30415	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/601080911/square.jpg	obscured
331349641	the_taxanaut	9035609	2024-11-19	observed_on	105.9016006	21.0769410	30415	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/601080925/square.jpg	obscured
331349647	the_taxanaut	9035609	2024-11-19	observed_on	105.9355518	21.0377369	30415	obscured	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/601080926/square.jpg	obscured
331349649	the_taxanaut	9035609	2024-11-19	observed_on	105.8882467	21.0015881	30415	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/601080930/square.jpg	obscured
331349651	the_taxanaut	9035609	2024-11-19	observed_on	105.8977202	21.1891646	30415	obscured	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/601080943/square.jpg	obscured
332003508	tamphan	3264284	2025-12-23	observed_on	105.8815651	21.2600024	716	obscured	research	https://static.inaturalist.org/photos/602418641/square.jpg	obscured
332003509	tamphan	3264284	2025-12-23	observed_on	105.8278840	21.2436977	716	obscured	research	https://static.inaturalist.org/photos/602418640/square.jpg	obscured
332003510	tamphan	3264284	2025-12-23	observed_on	105.9516999	21.3996780	716	obscured	research	https://static.inaturalist.org/photos/602418637/square.jpg	obscured
